language,hpc_cluster,grid_size,n_workers,core_secs
r,kebnekaise,16384,6,221.289321899414
r,kebnekaise,16384,7,218.346097230911
r,kebnekaise,16384,10,240.38322687149
r,kebnekaise,16384,23,260.407245397568
r,kebnekaise,16384,8,226.621208190918
r,kebnekaise,16384,9,225.578335762024
r,kebnekaise,16384,11,225.987062215805
r,kebnekaise,16384,20,237.290687561035
r,kebnekaise,16384,12,232.018775939941
r,kebnekaise,16384,1,205.393429517746
r,kebnekaise,16384,2,212.531128406525
r,kebnekaise,16384,3,214.012337207794
r,kebnekaise,16384,4,216.910740852356
r,kebnekaise,16384,5,219.294716119766
r,kebnekaise,16384,13,181.474319219589
r,kebnekaise,16384,14,188.49847984314
r,kebnekaise,16384,15,185.751310586929
r,kebnekaise,16384,16,187.941890716553
r,kebnekaise,16384,17,179.411043167114
r,kebnekaise,16384,18,221.059186935425
r,kebnekaise,16384,19,194.532675504684
r,kebnekaise,16384,21,174.814356565475
r,kebnekaise,16384,22,208.39864730835
r,kebnekaise,16384,24,181.988925933838
r,kebnekaise,16384,25,190.950447320938
r,kebnekaise,16384,26,185.492450714111
r,kebnekaise,16384,27,191.490701436996
r,kebnekaise,16384,28,181.957942962646
r,kebnekaise,16384,29,226.84615945816
r,kebnekaise,16384,30,182.973368167877
r,kebnekaise,16384,31,189.429774999619
r,kebnekaise,16384,32,187.726150512695
r,kebnekaise,16384,33,194.978232622147
r,kebnekaise,16384,34,187.361221790314
r,kebnekaise,16384,35,192.805831432343
r,kebnekaise,16384,36,189.322354316711
r,kebnekaise,16384,37,190.835431575775
r,kebnekaise,16384,38,193.50760602951
r,kebnekaise,16384,39,186.778002977371
r,kebnekaise,16384,40,191.142435073853
r,kebnekaise,16384,41,185.457193613052
r,kebnekaise,16384,42,189.733644962311
r,kebnekaise,16384,43,202.82936000824
r,kebnekaise,16384,44,202.874015808105
r,kebnekaise,16384,45,196.053847074509
r,kebnekaise,16384,46,197.386598110199
r,kebnekaise,16384,47,204.89842414856
r,kebnekaise,16384,48,195.834056854248
r,kebnekaise,16384,49,240.740872144699
r,kebnekaise,16384,50,199.641752243042
r,kebnekaise,16384,51,201.370358705521
r,kebnekaise,16384,52,197.267377853394
r,kebnekaise,16384,53,237.067486286163
r,kebnekaise,16384,54,196.910568237305
r,kebnekaise,16384,55,203.819435834885
r,kebnekaise,16384,56,203.147653579712
r,kebnekaise,16384,57,205.406397342682
r,kebnekaise,16384,58,208.571205615997
r,kebnekaise,16384,10,220.743145942688
r,kebnekaise,16384,11,229.365430355072
r,kebnekaise,16384,1,206.186160087585
r,kebnekaise,16384,12,173.441267967224
r,kebnekaise,16384,13,179.550508260727
r,kebnekaise,16384,14,179.541085243225
r,kebnekaise,16384,15,182.096993923187
r,kebnekaise,16384,16,311.649478912354
r,kebnekaise,16384,17,315.663065910339
r,kebnekaise,16384,18,308.652116775513
r,kebnekaise,16384,19,178.911118984222
r,kebnekaise,16384,20,180.023326873779
r,kebnekaise,16384,21,295.805894136429
r,kebnekaise,16384,2,216.391217708588
r,kebnekaise,16384,22,239.245258331299
r,kebnekaise,16384,23,260.915961503983
r,kebnekaise,16384,24,185.335155487061
r,kebnekaise,16384,25,189.684510231018
r,kebnekaise,16384,26,245.326382160187
r,kebnekaise,16384,27,249.983558177948
r,kebnekaise,16384,28,246.956800460815
r,kebnekaise,16384,29,181.256796598434
r,kebnekaise,16384,30,196.827578544617
r,kebnekaise,16384,31,196.404624223709
r,kebnekaise,16384,3,217.891252756119
r,kebnekaise,16384,32,182.60774230957
r,kebnekaise,16384,33,183.257401943207
r,kebnekaise,16384,34,186.646406173706
r,kebnekaise,16384,35,182.549380064011
r,kebnekaise,16384,36,192.927397727966
r,kebnekaise,16384,37,189.196381568909
r,kebnekaise,16384,38,216.104560852051
r,kebnekaise,16384,39,191.046575546265
r,kebnekaise,16384,40,183.929071426392
r,kebnekaise,16384,41,185.446040153503
r,kebnekaise,16384,4,217.183536529541
r,kebnekaise,16384,42,185.753356933594
r,kebnekaise,16384,43,206.234038591385
r,kebnekaise,16384,44,199.845505714417
r,kebnekaise,16384,45,193.58882188797
r,kebnekaise,16384,46,191.541479110718
r,kebnekaise,16384,47,201.687315225601
r,kebnekaise,16384,48,203.082916259766
r,kebnekaise,16384,49,207.235152006149
r,kebnekaise,16384,50,192.887043952942
r,kebnekaise,16384,51,202.301229715347
r,kebnekaise,16384,5,218.106038570404
r,kebnekaise,16384,52,198.161479949951
r,kebnekaise,16384,53,196.901275634766
r,kebnekaise,16384,54,215.688614845276
r,kebnekaise,16384,55,198.866778612137
r,kebnekaise,16384,56,209.272039413452
r,kebnekaise,16384,57,219.815140485764
r,kebnekaise,16384,58,203.954137325287
r,kebnekaise,16384,6,226.516654014587
r,kebnekaise,16384,7,234.3079829216
r,kebnekaise,16384,8,217.42621421814
r,kebnekaise,16384,9,222.793475389481
julia,kebnekaise,16384,10,21.66
julia,kebnekaise,16384,11,22.484
julia,kebnekaise,16384,12,23.388
julia,kebnekaise,16384,13,25.597
julia,kebnekaise,16384,1,3.958
julia,kebnekaise,16384,14,25.998
julia,kebnekaise,16384,15,28.275
julia,kebnekaise,16384,16,32.592
julia,kebnekaise,16384,17,30.736
julia,kebnekaise,16384,18,32.112
julia,kebnekaise,16384,19,34.485
julia,kebnekaise,16384,20,35.24
julia,kebnekaise,16384,21,41.202
julia,kebnekaise,16384,22,44.44
julia,kebnekaise,16384,23,43.079
julia,kebnekaise,16384,24,47.64
julia,kebnekaise,16384,25,42.9
julia,kebnekaise,16384,26,43.758
julia,kebnekaise,16384,27,46.089
julia,kebnekaise,16384,28,49.196
