language,hpc_cluster,grid_size,n_workers,core_secs
r,pelle,16384,10,277.616858482361
r,pelle,16384,11,270.951123714447
r,pelle,16384,1,172.511478662491
r,pelle,16384,12,280.90037727356
r,pelle,16384,13,286.170205831528
r,pelle,16384,14,275.767249584198
r,pelle,16384,15,276.745584011078
r,pelle,16384,16,286.10710144043
r,pelle,16384,17,287.365374326706
r,pelle,16384,18,286.956989765167
r,pelle,16384,19,294.794070959091
r,pelle,16384,20,304.999785423279
r,pelle,16384,21,311.637169361115
r,pelle,16384,22,313.117792129517
r,pelle,16384,2,304.768395423889
r,pelle,16384,23,314.79511141777
r,pelle,16384,24,291.010992050171
r,pelle,16384,25,295.406341552734
r,pelle,16384,26,292.870748996735
r,pelle,16384,27,319.962627410889
r,pelle,16384,28,325.610716819763
r,pelle,16384,29,328.564037799835
r,pelle,16384,30,324.64147567749
r,pelle,16384,31,326.246562480927
r,pelle,16384,32,329.107559204102
r,pelle,16384,3,253.879987478256
r,pelle,16384,33,282.143963813782
r,pelle,16384,34,284.678721904755
r,pelle,16384,35,312.249361276627
r,pelle,16384,36,314.693790435791
r,pelle,16384,37,321.941074609756
r,pelle,16384,38,326.464897632599
r,pelle,16384,39,320.032497167587
r,pelle,16384,40,331.594200134277
r,pelle,16384,41,326.838114500046
r,pelle,16384,42,332.03081703186
r,pelle,16384,4,258.560801506042
r,pelle,16384,43,335.771325349808
r,pelle,16384,44,338.849128723145
r,pelle,16384,45,331.599183082581
r,pelle,16384,46,336.674548625946
r,pelle,16384,47,343.822057723999
r,pelle,16384,48,347.144130706787
r,pelle,16384,49,268.289318084717
r,pelle,16384,50,272.123551368713
r,pelle,16384,51,345.861624240875
r,pelle,16384,52,318.776482582092
r,pelle,16384,5,242.015241384506
r,pelle,16384,53,301.691563129425
r,pelle,16384,54,349.73433637619
r,pelle,16384,55,294.218549728394
r,pelle,16384,56,286.38818359375
r,pelle,16384,57,292.814943552017
r,pelle,16384,58,287.355341911316
r,pelle,16384,59,315.907274246216
r,pelle,16384,60,297.869038581848
r,pelle,16384,61,288.037382602692
r,pelle,16384,62,358.232282161713
r,pelle,16384,6,262.083912849426
r,pelle,16384,63,290.239189624786
r,pelle,16384,64,343.139602661133
r,pelle,16384,7,253.501781702042
r,pelle,16384,8,269.727479934692
r,pelle,16384,9,276.484753131866
r,pelle,16384,10,283.308651447296
r,pelle,16384,11,274.500535488129
r,pelle,16384,1,172.882211446762
r,pelle,16384,12,288.643601417542
r,pelle,16384,13,288.123383998871
r,pelle,16384,14,279.524545192719
r,pelle,16384,15,282.811342477798
r,pelle,16384,16,293.481201171875
r,pelle,16384,17,297.477262020111
r,pelle,16384,18,297.913041114807
r,pelle,16384,19,304.341010332108
r,pelle,16384,20,294.281139373779
r,pelle,16384,21,294.557616233826
r,pelle,16384,22,296.938158988953
r,pelle,16384,2,302.331640720367
r,pelle,16384,23,301.308875799179
r,pelle,16384,24,281.010177612305
r,pelle,16384,25,290.247732400894
r,pelle,16384,26,284.371417045593
r,pelle,16384,27,288.551839828491
r,pelle,16384,28,296.849217414856
r,pelle,16384,29,297.823638439178
r,pelle,16384,30,310.795447826385
r,pelle,16384,31,311.994063138962
r,pelle,16384,3,223.271887779236
r,pelle,16384,32,316.672416687012
r,pelle,16384,33,282.293719768524
r,pelle,16384,34,286.857425689697
r,pelle,16384,35,300.437300205231
r,pelle,16384,36,308.055705070496
r,pelle,16384,37,313.523126125336
r,pelle,16384,38,317.5164103508
r,pelle,16384,39,297.087207555771
r,pelle,16384,40,303.131380081177
r,pelle,16384,41,308.759832620621
r,pelle,16384,42,314.446158885956
r,pelle,16384,4,264.212405204773
r,pelle,16384,43,326.612302303314
r,pelle,16384,44,331.675351142883
r,pelle,16384,45,333.938541412354
r,pelle,16384,46,333.586772918701
r,pelle,16384,47,344.849561929703
r,pelle,16384,48,349.34167098999
r,pelle,16384,49,297.455733299255
r,pelle,16384,50,285.393261909485
r,pelle,16384,51,277.015568733215
r,pelle,16384,52,303.582288742065
r,pelle,16384,5,238.088204860687
r,pelle,16384,53,292.973315954208
r,pelle,16384,54,302.329133033752
r,pelle,16384,55,299.090483188629
r,pelle,16384,56,315.90452003479
r,pelle,16384,57,315.819884061813
r,pelle,16384,58,279.74299955368
r,pelle,16384,59,278.338265657425
r,pelle,16384,60,282.657766342163
r,pelle,16384,61,280.88605093956
r,pelle,16384,62,283.282553195953
r,pelle,16384,6,265.4264960289
r,pelle,16384,63,295.450552225113
r,pelle,16384,64,293.907974243164
r,pelle,16384,7,251.631289958954
r,pelle,16384,8,274.487354278564
r,pelle,16384,9,280.270601034164
r,pelle,16384,10,275.904681682587
r,pelle,16384,11,279.248123407364
r,pelle,16384,1,174.233639240265
r,pelle,16384,12,285.107013702393
r,pelle,16384,13,287.299319982529
r,pelle,16384,14,292.585641860962
r,pelle,16384,15,296.374561786652
r,pelle,16384,16,297.047065734863
r,pelle,16384,17,268.39882683754
r,pelle,16384,18,274.341659545898
r,pelle,16384,19,272.206751346588
r,pelle,16384,20,274.979629516602
r,pelle,16384,21,293.866884469986
r,pelle,16384,22,302.668512821198
r,pelle,16384,2,304.375305175781
r,pelle,16384,23,299.245869398117
r,pelle,16384,24,301.267948150635
r,pelle,16384,25,318.269038200378
r,pelle,16384,26,288.424711704254
r,pelle,16384,27,287.445499420166
r,pelle,16384,28,306.562870979309
r,pelle,16384,29,314.47551202774
r,pelle,16384,30,311.023499965668
r,pelle,16384,31,289.294432163239
r,pelle,16384,3,213.166084527969
r,pelle,16384,32,291.621696472168
r,pelle,16384,33,277.496462345123
r,pelle,16384,34,290.857291698456
r,pelle,16384,35,299.2136323452
r,pelle,16384,36,302.991788864136
r,pelle,16384,37,302.762102365494
r,pelle,16384,38,309.436007022858
r,pelle,16384,39,323.938193321228
r,pelle,16384,40,326.364297866821
r,pelle,16384,41,354.21341586113
r,pelle,16384,42,338.993019104004
r,pelle,16384,4,248.504819869995
r,pelle,16384,43,319.538320541382
r,pelle,16384,44,317.591556549072
r,pelle,16384,45,311.527472734451
r,pelle,16384,46,336.657461643219
r,pelle,16384,47,339.495849847794
r,pelle,16384,48,343.436462402344
r,pelle,16384,49,289.836178064346
r,pelle,16384,50,318.328535556793
r,pelle,16384,51,277.192171096802
r,pelle,16384,52,279.973780632019
r,pelle,16384,5,248.786387443542
r,pelle,16384,53,282.485901832581
r,pelle,16384,54,306.884695529938
r,pelle,16384,55,321.720831394196
r,pelle,16384,56,301.976350784302
r,pelle,16384,57,283.702712059021
r,pelle,16384,58,292.290114879608
r,pelle,16384,59,338.543078184128
r,pelle,16384,60,299.406852722168
r,pelle,16384,61,325.571158885956
r,pelle,16384,62,286.079978466034
r,pelle,16384,6,255.507973194122
r,pelle,16384,63,286.936375379562
r,pelle,16384,64,287.99089050293
r,pelle,16384,7,245.104523420334
r,pelle,16384,8,260.723926544189
r,pelle,16384,9,260.787757873535
r,pelle,16384,10,257.809996604919
r,pelle,16384,11,255.096394538879
r,pelle,16384,1,133.60558795929
r,pelle,16384,12,261.460870742798
r,pelle,16384,13,262.174819231033
r,pelle,16384,14,262.404393672943
r,pelle,16384,15,263.844398260117
r,pelle,16384,16,287.08581161499
r,pelle,16384,17,291.901974201202
r,pelle,16384,18,269.111746788025
